date,time,market-val,margin,fund-avail,total-asset,profit,commission,account,mode
2020-10-22,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-23,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-26,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-27,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-28,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-29,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-30,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-02,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-03,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-04,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-05,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-06,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-09,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-10,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-11,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-12,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-13,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-16,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-17,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-18,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-19,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-20,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-23,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-24,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-25,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-26,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-27,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-11-30,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-01,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-02,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-03,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-04,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-07,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-08,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-09,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-10,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-11,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-14,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-15,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-16,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-17,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-18,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-21,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-22,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-23,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-24,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-25,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-28,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-29,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-30,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-12-31,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-04,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-05,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
