date,time,inst-id,direction,cost-price,last-price,volume,avail-vol,amt,pnl,account
2021-10-13,16:00:00,600106.XSHG.CS,L,2.61,2.72,121700,121700,331024,13387.000000000038,
2021-10-14,16:00:00,000019.XSHE.CS,L,6.91,7.21,45800,45800,330218,13739.999999999993,
2021-10-14,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.98,10900,10900,370381.99999999994,55044.99999999989,
2021-10-14,16:00:00,600106.XSHG.CS,L,2.61,2.77,121700,121700,337109,19472.00000000002,
2021-10-15,16:00:00,000019.XSHE.CS,L,6.91,7.07,45800,45800,323806,7328.000000000006,
2021-10-15,16:00:00,000063.XSHE.CS,L,28.930000000000007,34.17,10900,10900,372453,57115.99999999994,
2021-10-15,16:00:00,600106.XSHG.CS,L,2.61,2.73,121700,121700,332241,14604.000000000013,
2021-10-18,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.76,10900,10900,367984,52646.999999999905,
2021-10-18,16:00:00,600106.XSHG.CS,L,2.61,2.77,121700,121700,337109,19472.00000000002,
2021-10-18,16:00:00,000019.XSHE.CS,L,6.91,7.14,45800,45800,327012,10533.999999999978,
2021-10-19,16:00:00,000019.XSHE.CS,L,6.91,7.28,45800,45800,333424,16946.000000000004,
2021-10-19,16:00:00,000063.XSHE.CS,L,28.930000000000007,34.08,10900,10900,371472,56134.999999999905,
2021-10-19,16:00:00,600106.XSHG.CS,L,2.61,2.73,121700,121700,332241,14604.000000000013,
2021-10-20,16:00:00,000019.XSHE.CS,L,6.91,7.24,45800,45800,331592,15114.000000000004,
2021-10-20,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.78,10900,10900,368202,52864.999999999935,
2021-10-20,16:00:00,600106.XSHG.CS,L,2.61,2.7,121700,121700,328590,10953.000000000036,
2021-10-21,16:00:00,000019.XSHE.CS,L,6.91,7.15,45800,45800,327470,10992.00000000001,
2021-10-21,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.41,10900,10900,364168.99999999994,48831.99999999989,
2021-10-21,16:00:00,600106.XSHG.CS,L,2.61,2.65,121700,121700,322505,4868.000000000005,
2021-10-22,16:00:00,000019.XSHE.CS,L,6.91,7.13,45800,45800,326554,10075.999999999989,
2021-10-22,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.26,10900,10900,362534,47196.999999999905,
2021-10-22,16:00:00,600106.XSHG.CS,L,2.61,2.57,121700,121700,312769,-4868.000000000005,
2021-10-25,16:00:00,000019.XSHE.CS,L,6.91,7.05,45800,45800,322890,6411.999999999985,
2021-10-25,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.94,10900,10900,369946,54608.9999999999,
2021-10-25,16:00:00,600106.XSHG.CS,L,2.61,2.54,121700,121700,309118,-8518.99999999998,
2021-10-26,16:00:00,000019.XSHE.CS,L,6.91,6.9,45800,45800,316020,-457.9999999999902,
2021-10-26,16:00:00,000063.XSHE.CS,L,28.930000000000007,34.15,10900,10900,372235,56897.99999999991,
2021-10-26,16:00:00,600106.XSHG.CS,L,2.61,2.51,121700,121700,305467,-12170.000000000011,
2021-10-27,16:00:00,000019.XSHE.CS,L,6.91,6.76,45800,45800,309608,-6870.000000000016,
2021-10-27,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.53,10900,10900,365477,50139.999999999935,
2021-10-27,16:00:00,600106.XSHG.CS,L,2.61,2.51,121700,121700,305467,-12170.000000000011,
2021-10-28,16:00:00,000019.XSHE.CS,L,6.91,6.41,45800,45800,293578,-22900,
2021-10-28,16:00:00,000063.XSHE.CS,L,28.930000000000007,32.96,10900,10900,359264,43926.999999999935,
2021-10-28,16:00:00,600106.XSHG.CS,L,2.61,2.53,121700,121700,307901,-9736.00000000001,
2021-10-29,16:00:00,000019.XSHE.CS,L,6.91,6.5,45800,45800,297700,-18778.000000000007,
2021-10-29,16:00:00,000063.XSHE.CS,L,28.930000000000007,32.62,10900,10900,355558,40220.9999999999,
2021-10-29,16:00:00,600106.XSHG.CS,L,2.61,2.58,121700,121700,313986,-3650.9999999999764,
2021-11-01,16:00:00,000019.XSHE.CS,L,6.91,6.66,45800,45800,305028,-11450,
2021-11-01,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.39,10900,10900,342151,26813.99999999993,
2021-11-01,16:00:00,600106.XSHG.CS,L,2.61,2.56,121700,121700,311552,-6084.999999999978,
2021-11-02,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.16,10900,10900,339644,24306.999999999927,
2021-11-02,16:00:00,600106.XSHG.CS,L,2.61,2.51,121700,121700,305467,-12170.000000000011,
2021-11-02,16:00:00,000019.XSHE.CS,L,6.91,7.19,45800,45800,329302,12824.000000000011,
2021-11-03,16:00:00,600106.XSHG.CS,L,2.61,2.53,121700,121700,307901,-9736.00000000001,
2021-11-03,16:00:00,000019.XSHE.CS,L,6.91,7.04,45800,45800,322432,5953.999999999995,
2021-11-03,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.08,10900,10900,338772,23434.999999999905,
2021-11-04,16:00:00,000019.XSHE.CS,L,6.91,7.01,45800,45800,321058,4579.999999999984,
2021-11-04,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.67,10900,10900,345203,29865.999999999945,
2021-11-04,16:00:00,600106.XSHG.CS,L,2.61,2.53,121700,121700,307901,-9736.00000000001,
2021-11-05,16:00:00,000019.XSHE.CS,L,6.91,6.83,45800,45800,312814,-3664.000000000003,
2021-11-05,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.3,10900,10900,341170,25832.999999999935,
2021-11-05,16:00:00,600106.XSHG.CS,L,2.61,2.52,121700,121700,306684,-10952.999999999982,
2021-11-08,16:00:00,000019.XSHE.CS,L,6.91,6.76,45800,45800,309608,-6870.000000000016,
2021-11-08,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.15,10900,10900,339535,24197.99999999991,
2021-11-08,16:00:00,600106.XSHG.CS,L,2.61,2.53,121700,121700,307901,-9736.00000000001,
2021-11-09,16:00:00,000019.XSHE.CS,L,6.91,6.78,45800,45800,310524,-5953.999999999995,
2021-11-09,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.49,10900,10900,343241,27903.99999999991,
2021-11-09,16:00:00,600106.XSHG.CS,L,2.61,2.52,121700,121700,306684,-10952.999999999982,
2021-11-10,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.76,10900,10900,346184,30846.99999999994,
2021-11-10,16:00:00,600106.XSHG.CS,L,2.61,2.54,121700,121700,309118,-8518.99999999998,
2021-11-10,16:00:00,000019.XSHE.CS,L,6.91,6.76,45800,45800,309608,-6870.000000000016,
2021-11-11,16:00:00,000019.XSHE.CS,L,6.91,6.78,45800,45800,310524,-5953.999999999995,
2021-11-11,16:00:00,000063.XSHE.CS,L,28.930000000000007,32.15,10900,10900,350435,35097.99999999991,
2021-11-11,16:00:00,600106.XSHG.CS,L,2.61,2.56,121700,121700,311552,-6084.999999999978,
2021-11-12,16:00:00,000019.XSHE.CS,L,6.91,6.88,45800,45800,315104,-1374.0000000000114,
2021-11-12,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.82,10900,10900,346838,31500.999999999927,
2021-11-12,16:00:00,600106.XSHG.CS,L,2.61,2.55,121700,121700,310335,-7302.000000000006,
2021-11-15,16:00:00,000019.XSHE.CS,L,6.91,6.94,45800,45800,317852,1374.0000000000114,
2021-11-15,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.54,10900,10900,343786,28448.999999999916,
2021-11-15,16:00:00,600106.XSHG.CS,L,2.61,2.59,121700,121700,315203,-2434.0000000000023,
2021-11-16,16:00:00,000019.XSHE.CS,L,6.91,6.99,45800,45800,320142,3664.000000000003,
2021-11-16,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.7,10900,10900,345530,30192.999999999916,
2021-11-16,16:00:00,600106.XSHG.CS,L,2.61,2.56,121700,121700,311552,-6084.999999999978,
2021-11-17,16:00:00,600106.XSHG.CS,L,2.61,2.59,121700,121700,315203,-2434.0000000000023,
2021-11-17,16:00:00,000019.XSHE.CS,L,6.91,6.85,45800,45800,313730,-2748.0000000000227,
